# plugin	O-simpleFM
# uiRoot	Source/ui/public
# generated	2026-08-28T04:24:18.515Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-text	index.html	36	h1.title		UNSURE	no	title.o-simple	O – simple	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	36	span.title-accent		LABEL	no	title-accent.fm	FM	prose survives the readout filter
html-text	index.html	37	p.subtitle		LABEL	no	subtitle.two-operator-phase-modulation	Two-Operator Phase-Modulation Synthesizer · A Field Guide	prose survives the readout filter
html-text	index.html	45	#presetName		LABEL	no	presetName	Default	prose survives the readout filter
html-text	index.html	47	#presetSave		LABEL	no	presetSave	Save	prose survives the readout filter
html-text	index.html	48	#presetDelete		LABEL	no	presetDelete	Delete	prose survives the readout filter
html-text	index.html	57	div.viz-label		UNSURE	no	viz-label.spectrum	Spectrum ·	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	57	span.viz-hint		LABEL	no	viz-hint.discrete-sidebands-bloom-as	discrete sidebands bloom as Mod Index rises	prose survives the readout filter
html-text	index.html	61	div.viz-label		UNSURE	no	viz-label.waveform	Waveform ·	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	61	span.viz-hint		LABEL	no	viz-hint.the-resulting-carrier-shape	the resulting carrier shape	prose survives the readout filter
html-text	index.html	68	div.routing-label		LABEL	no	routing-label.signal-path	Signal Path	prose survives the readout filter
html-text	index.html	81	text.op-text		LABEL	no	routingsvg.mod	MOD	prose survives the readout filter
html-text	index.html	83	text.op-text		LABEL	no	routingsvg.car	CAR	prose survives the readout filter
html-text	index.html	87	#carrierNullBadge		LABEL	no	carrierNullBadge	carrier null	prose survives the readout filter
html-text	index.html	88	#routeMeta		LABEL	no	routeMeta	harmonic · ≈ 1 sideband	prose survives the readout filter
html-text	index.html	95	h2.group-title		LABEL	no	group-title.operators	Operators	prose survives the readout filter
html-text	index.html	99	div.knob-label		LABEL	no	knob-label.ratio-c-m	Ratio C:M	prose survives the readout filter
html-text	index.html	104	div.knob-label		LABEL	no	knob-label.mod-index	Mod Index	prose survives the readout filter
html-text	index.html	109	div.knob-label		LABEL	no	knob-label.feedback	Feedback	prose survives the readout filter
html-text	index.html	114	div.knob-label		LABEL	no	knob-label.fixed-hz	Fixed Hz	prose survives the readout filter
html-text	index.html	115	#val-modFixedHz		READOUT	no	val-modFixedHz	220 Hz	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	119	div.knob-label		LABEL	no	knob-label.env-index	Env→Index	prose survives the readout filter
html-text	index.html	124	div.knob-label		LABEL	no	knob-label.vel-index	Vel→Index	prose survives the readout filter
html-text	index.html	130	#toggle-ratioSnap		UNSURE	yes	toggle-ratioSnap	Ratio Snap	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	133	#toggle-modFixedMode		UNSURE	yes	toggle-modFixedMode	Fixed Mode	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	140	h2.group-title		LABEL	no	group-title.modulator-envelope	Modulator Envelope	prose survives the readout filter
html-text	index.html	144	div.knob-label		LABEL	no	knob-label.attack	Attack	prose survives the readout filter
html-text	index.html	145	#val-modAttack		READOUT	no	val-modAttack	10 ms	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	149	div.knob-label		LABEL	no	knob-label.decay	Decay	prose survives the readout filter
html-text	index.html	150	#val-modDecay		READOUT	no	val-modDecay	300 ms	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	154	div.knob-label		LABEL	no	knob-label.sustain	Sustain	prose survives the readout filter
html-text	index.html	159	div.knob-label		LABEL	no	knob-label.release	Release	prose survives the readout filter
html-text	index.html	160	#val-modRelease		READOUT	no	val-modRelease	300 ms	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	166	h2.group-title		LABEL	no	group-title.amplitude-envelope	Amplitude Envelope	prose survives the readout filter
html-text	index.html	170	div.knob-label		LABEL	no	knob-label.attack-2	Attack	prose survives the readout filter
html-text	index.html	171	#val-ampAttack		READOUT	no	val-ampAttack	10 ms	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	175	div.knob-label		LABEL	no	knob-label.decay-2	Decay	prose survives the readout filter
html-text	index.html	176	#val-ampDecay		READOUT	no	val-ampDecay	300 ms	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	180	div.knob-label		LABEL	no	knob-label.sustain-2	Sustain	prose survives the readout filter
