# plugin	O-Bells
# uiRoot	Resources/ui
# generated	2026-08-30T02:38:49.000Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-text	index.html	1151	h1		LABEL	no	ui.ouaricon-bells	Ouaricon Bells	prose survives the readout filter
html-text	index.html	1155	#preset-name-display		UNSURE	no	preset-name-display	Default	this element DISPLAYS a preset name — exempt under D-02, because the name IS the JSON filename. Confirm it is the name and not a caption beside it
html-text	index.html	1159	#preset-save		LABEL	no	preset-save	Save	prose survives the readout filter
html-text	index.html	1160	#preset-load		LABEL	no	preset-load	Load	prose survives the readout filter
html-text	index.html	1167	div.tab.active		LABEL	no	tab.instrument	Instrument	prose survives the readout filter
html-text	index.html	1168	div.tab		LABEL	no	tab.tuning	Tuning	prose survives the readout filter
html-text	index.html	1169	div.tab		LABEL	no	tab.effects	Effects	prose survives the readout filter
html-text	index.html	1177	span.cpu-warning-text		UNSURE	no	cpu-warning.estimated-bell-decay	Estimated bell decay:	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	1178	span.cpu-warning-text		UNSURE	no	cpu-warning.long-decays-with-polyphony	. Long decays with polyphony may cause high CPU usage, distortion, or stuttering.	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	1185	div.section-title		LABEL	no	instrument-tab.synthesis	Synthesis	prose survives the readout filter
html-text	index.html	1188	div.param-label		LABEL	no	instrument-tab.damping	Damping	prose survives the readout filter
html-text	index.html	1195	div.param-label		LABEL	no	instrument-tab.overtone-brightness	Overtone Brightness	prose survives the readout filter
html-text	index.html	1202	div.param-label		LABEL	no	instrument-tab.acoustic-brightness	Acoustic Brightness	prose survives the readout filter
html-text	index.html	1209	div.param-label		LABEL	no	instrument-tab.material	Material	prose survives the readout filter
html-text	index.html	1218	div.param-label		LABEL	no	instrument-tab.inharmonicity	Inharmonicity	prose survives the readout filter
html-text	index.html	1225	div.param-label		LABEL	no	instrument-tab.air-absorption	Air Absorption	prose survives the readout filter
html-text	index.html	1232	div.param-label		LABEL	no	instrument-tab.air-time	Air Time	prose survives the readout filter
html-text	index.html	1241	div.param-label		LABEL	no	bloomspeed-control.bloom-speed	Bloom Speed	prose survives the readout filter
html-text	index.html	1248	div.param-label		LABEL	no	bloomamount-control.bloom-amount	Bloom Amount	prose survives the readout filter
html-text	index.html	1255	div.param-label		LABEL	no	bloom-main-row.shimmer	Shimmer	prose survives the readout filter
html-text	index.html	1267	div.toggle-label		LABEL	no	bloom-fine-toggle.bloom-fine-controls-override	Bloom Fine Controls (Override Mode)	prose survives the readout filter
html-text	index.html	1270	div.section-hint		LABEL	no	bloom-fine-content.per-band-control-main	Per-band control - main sliders disabled when active	prose survives the readout filter
html-text	index.html	1273	div.param-label		LABEL	no	bloom-fine-content.speed-low	Speed Low	prose survives the readout filter
html-text	index.html	1280	div.param-label		LABEL	no	bloom-fine-content.speed-mid	Speed Mid	prose survives the readout filter
html-text	index.html	1287	div.param-label		LABEL	no	bloom-fine-content.speed-high	Speed High	prose survives the readout filter
html-text	index.html	1299	div.param-label		LABEL	no	bloom-fine-content.amount-low	Amount Low	prose survives the readout filter
html-text	index.html	1306	div.param-label		LABEL	no	bloom-fine-content.amount-mid	Amount Mid	prose survives the readout filter
html-text	index.html	1313	div.param-label		LABEL	no	bloom-fine-content.amount-high	Amount High	prose survives the readout filter
html-text	index.html	1329	div.section-title		LABEL	no	instrument-tab.ensemble	Ensemble	prose survives the readout filter
html-text	index.html	1332	div.param-label		LABEL	no	instrument-tab.unison	Unison	prose survives the readout filter
html-text	index.html	1339	div.param-label		LABEL	no	instrument-tab.detune	Detune	prose survives the readout filter
html-text	index.html	1343	div.param-value		READOUT	no	instrument-tab.10ct	10ct	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	1346	div.param-label		LABEL	no	instrument-tab.sub	Sub	prose survives the readout filter
html-text	index.html	1355	div.param-label		LABEL	no	instrument-tab.oct	Oct	prose survives the readout filter
html-text	index.html	1362	div.param-label		LABEL	no	instrument-tab.spread	Spread	prose survives the readout filter
html-text	index.html	1376	div.section-title		LABEL	no	instrument-tab.onsets	Onsets	prose survives the readout filter
html-text	index.html	1379	div.param-label		LABEL	no	instrument-tab.strike	Strike	prose survives the readout filter
html-text	index.html	1386	div.param-label		LABEL	no	instrument-tab.mallet	Mallet	prose survives the readout filter
html-text	index.html	1393	div.param-label		LABEL	no	instrument-tab.attack-amount	Attack Amount	prose survives the readout filter
html-text	index.html	1402	div.param-label		LABEL	no	instrument-tab.noise	Noise	prose survives the readout filter
html-text	index.html	1404	div.choice-button.active		LABEL	no	instrument-tab.click	Click	prose survives the readout filter
html-text	index.html	1405	div.choice-button		LABEL	no	instrument-tab.thud	Thud	prose survives the readout filter
html-text	index.html	1406	div.choice-button		LABEL	no	instrument-tab.ping	Ping	prose survives the readout filter
