# plugin	O-simpleSampler
# uiRoot	Source/ui/public
# generated	2026-08-28T04:24:18.553Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-text	index.html	33	h1.title		UNSURE	no	title.o-simple	O – simple	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	33	span.title-accent		LABEL	no	title-accent.sampler	Sampler	prose survives the readout filter
html-text	index.html	34	p.subtitle		LABEL	no	subtitle.keyboard-sampler-a-field	Keyboard Sampler · A Field Guide	prose survives the readout filter
html-text	index.html	41	button.tour-btn		LABEL	yes	presettour.raw-one-shot	Raw One-Shot	prose survives the readout filter
html-text	index.html	42	button.tour-btn		LABEL	yes	presettour.tuned	Tuned	prose survives the readout filter
html-text	index.html	43	button.tour-btn		LABEL	yes	presettour.looped-pad	Looped Pad	prose survives the readout filter
html-text	index.html	44	button.tour-btn		LABEL	yes	presettour.reversed	Reversed	prose survives the readout filter
html-text	index.html	45	button.tour-btn		LABEL	yes	presettour.repitch-stretch	Repitch/Stretch	prose survives the readout filter
html-text	index.html	46	button.tour-btn		LABEL	yes	presettour.sp-1200	SP-1200	prose survives the readout filter
html-text	index.html	47	button.tour-btn		LABEL	yes	presettour.filtered	Filtered	prose survives the readout filter
html-text	index.html	57	#tourCaption		LABEL	no	tourCaption	Hover any control for an explanation · pick a concept preset to hear it isolated.	prose survives the readout filter
html-text	index.html	63	div.viz-label		UNSURE	no	viz-label.waveform-editor	Waveform Editor ·	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	63	span.viz-hint		LABEL	no	viz-hint.drag-start-end-loop	drag start/end & loop handles; the playhead tracks the live read position	prose survives the readout filter
html-text	index.html	71	h2.group-title		LABEL	no	group-title.source	Source	prose survives the readout filter
html-text	index.html	73	#btnLoad		LABEL	yes	btnLoad	Load…	prose survives the readout filter
html-text	index.html	74	#source-drop-zone		LABEL	yes	source-drop-zone	Drop a .wav/.aif here to sample your own sound	prose survives the readout filter
html-text	index.html	83	h2.group-title		LABEL	no	group-title.region	Region	prose survives the readout filter
html-text	index.html	87	div.knob-label		LABEL	no	knob-label.start	Start	prose survives the readout filter
html-text	index.html	92	div.knob-label		LABEL	no	knob-label.end	End	prose survives the readout filter
html-text	index.html	97	div.knob-label		LABEL	no	knob-label.loop-start	Loop Start	prose survives the readout filter
html-text	index.html	102	div.knob-label		LABEL	no	knob-label.loop-end	Loop End	prose survives the readout filter
html-text	index.html	107	div.knob-label		LABEL	no	knob-label.loop-xf	Loop XF	prose survives the readout filter
html-text	index.html	108	#val-loopCrossfade		READOUT	no	val-loopCrossfade	10 ms	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	114	div.knob-label		LABEL	no	knob-label.loop-mode	Loop Mode	prose survives the readout filter
html-text	index.html	117	#toggle-reverse		UNSURE	yes	toggle-reverse	Reverse	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	126	h2.group-title		LABEL	no	group-title.pitch	Pitch	prose survives the readout filter
html-text	index.html	130	div.knob-label		LABEL	no	knob-label.root-key	Root Key	prose survives the readout filter
html-text	index.html	135	div.knob-label		LABEL	no	knob-label.tune	Tune	prose survives the readout filter
html-text	index.html	136	#val-tune		READOUT	no	val-tune	0 st	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	140	div.knob-label		LABEL	no	knob-label.fine	Fine	prose survives the readout filter
html-text	index.html	147	div.knob-label		LABEL	no	knob-label.pitch-mode	Pitch Mode	prose survives the readout filter
html-text	index.html	155	h2.group-title		LABEL	no	group-title.vintage	Vintage	prose survives the readout filter
html-text	index.html	159	div.knob-label		LABEL	no	knob-label.amount	Amount	prose survives the readout filter
html-text	index.html	167	h2.group-title		LABEL	no	group-title.filter	Filter	prose survives the readout filter
