# plugin	O-simplePhysicalModelSynth
# uiRoot	Source/ui/public
# generated	2026-08-28T17:52:12.588Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-text	index.html	33	h1.title		UNSURE	no	title.o-simple	O – simple	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	33	span.title-accent		LABEL	no	title-accent.physicalmodel	PhysicalModel	prose survives the readout filter
html-text	index.html	34	p.subtitle		LABEL	no	subtitle.karplus-strong-string-modal	Karplus–Strong String & Modal Resonator Synthesizer · A Field Guide	prose survives the readout filter
html-text	index.html	42	#presetName		LABEL	no	presetName	Default	prose survives the readout filter
html-text	index.html	44	#presetSave		LABEL	no	presetSave	Save	prose survives the readout filter
html-text	index.html	45	#presetDelete		LABEL	no	presetDelete	Delete	prose survives the readout filter
html-text	index.html	58	div.viz-label		UNSURE	no	viz-label.signal-flow	Signal Flow ·	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	58	span.viz-hint		LABEL	no	viz-hint.excitation-resonator-loop-material	excitation → resonator loop → material → out	prose survives the readout filter
html-text	index.html	72	text.box-text		LABEL	no	loopsvg.excite	EXCITE	prose survives the readout filter
html-text	index.html	73	text.box-sub		LABEL	no	loopsvg.pluck-strike-bow	pluck·strike·bow	prose survives the readout filter
html-text	index.html	79	text.box-text		LABEL	no	loopsvg.resonator	RESONATOR	prose survives the readout filter
html-text	index.html	80	#resonatorMode		LABEL	no	resonatorMode	string · loop	prose survives the readout filter
html-text	index.html	103	text.box-text		LABEL	no	loopsvg.material	MATERIAL	prose survives the readout filter
html-text	index.html	104	text.box-sub		LABEL	no	loopsvg.damp-decay	damp·decay	prose survives the readout filter
html-text	index.html	117	div.viz-label		UNSURE	no	viz-label.spectrum	Spectrum ·	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	117	span.viz-hint		LABEL	no	viz-hint.harmonic-comb-vs-inharmonic	harmonic comb vs inharmonic modes	prose survives the readout filter
html-text	index.html	122	div.viz-label		UNSURE	no	viz-label.waveform	Waveform ·	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	122	span.viz-hint		LABEL	no	viz-hint.the-ringing-string-body	the ringing string / body, decaying	prose survives the readout filter
html-text	index.html	132	h2.group-title		LABEL	no	group-title.1-excitation	1 · Excitation	prose survives the readout filter
html-text	index.html	136	div.knob-label		LABEL	no	knob-label.type	Type	prose survives the readout filter
html-text	index.html	140	div.knob-label		LABEL	no	knob-label.position	Position	prose survives the readout filter
html-text	index.html	145	div.knob-label		LABEL	no	knob-label.color	Color	prose survives the readout filter
html-text	index.html	150	div.knob-label		LABEL	no	knob-label.bow-force	Bow Force	prose survives the readout filter
html-text	index.html	158	h2.group-title		LABEL	no	group-title.2-resonator	2 · Resonator	prose survives the readout filter
html-text	index.html	162	div.knob-label		LABEL	no	knob-label.engine	Engine	prose survives the readout filter
html-text	index.html	166	div.knob-label		LABEL	no	knob-label.string-model	String Model	prose survives the readout filter
html-text	index.html	170	div.knob-label		LABEL	no	knob-label.inharmonicity	Inharmonicity	prose survives the readout filter
html-text	index.html	175	div.knob-label		LABEL	no	knob-label.mode-bright	Mode Bright	prose survives the readout filter
html-text	index.html	183	h2.group-title		LABEL	no	group-title.3-material-tuning	3 · Material · Tuning	prose survives the readout filter
html-text	index.html	187	div.knob-label		LABEL	no	knob-label.material	Material	prose survives the readout filter
html-text	index.html	192	div.knob-label		LABEL	no	knob-label.damping	Damping	prose survives the readout filter
html-text	index.html	197	div.knob-label		LABEL	no	knob-label.decay	Decay	prose survives the readout filter
html-text	index.html	202	div.knob-label		LABEL	no	knob-label.coarse	Coarse	prose survives the readout filter
html-text	index.html	203	#val-coarseTune		READOUT	no	val-coarseTune	0 st	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	207	div.knob-label		LABEL	no	knob-label.fine	Fine	prose survives the readout filter
